ID,Abstraction,Prompt,Story,Length,Required Length ,Coherence,Grammar,Vocab,Kanji,Length,Totals,Notes,Cross-Evaluated?,Abstraction Group,AVERAGE,Average w/out length
19,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: あきら, ゆか
テーマ: 「冒険」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ある日、あきらとゆかは山に行くことにしました。二人は友達です。山には面白い場所がたくさんあります。二人は元気に歩き始めました。  

途中で、大きな木を見つけました。「あの木の上に登ってみよう！」とあきらが言いました。ゆかも「いいね！」と答えました。二人は木に登りました。木の上から見る景色はとてもきれいでした。  

その時、ゆかが「見て！あの道が見える！」と言いました。道の先にはきれいな川があります。「行こう！」とあきらが言いました。二人は木から降りて、川へ向かいました。  

川に着くと、魚が泳いでいます。「魚を捕まえたい！」とあきらが言いましたが、ゆかは「遊ぼうよ！」と笑いました。二人は水遊びを始めました。  

日が暮れる前に、二人は家に帰りました。「楽しかったね！」とあきらが言いました。「うん、また冒険しよう！」とゆかが答えました。彼らの心は冒険で満たされていました。",394,300,3,4,３,3,1,11,"2 OOS kanji, 1 OOS vocab, 1 tense mistake",1,,,
31,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ゆか, あい
テーマ: 「夢」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ゆかとあいは、学校の友だちです。毎晩、二人は夢を見ます。ある日、ゆかは大きな山に登る夢を見ました。その山の上には、美しい花が咲いていました。ゆかはその花を摘みたいと思いました。

翌日、ゆかはあいに夢の話をしました。「あい、一緒に山に行こう！」あいは笑って言いました。「いいね！でも、夢の中も面白いよ。」

そう言って、あいは自分の夢を話しました。「私は空を飛んで、星と遊ぶ夢を見たよ。」ゆかは目をキラキラさせて言いました。「星も見たい！私たち、夢を一緒に作ろう！」

二人は、毎晩いろいろな夢を作りました。山や空、高いビル、海の中。夢の中では、二人は何でもできます。心が楽しくなります。

「明日も夢を見ようね！」とゆかが言うと、あいはうなずきました。二人は夢の世界で、ずっと友だちです。",345,300,2,4,3,4,3,16,"1 OOS vocab, story seems to have missing details, slightly confusing",0,,,
74,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: けん, たろう
テーマ: 「スポーツ」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","けんとたろうは、友だちです。二人はいつも一緒に遊びます。今日は、サッカーをすることにしました。公園で、他の友だちも来ました。

けんはとても速い選手です。たろうは、けんが大好きです。「けん、パスして！」とたろうが言いました。けんはボールをたろうにパスしました。たろうは走って、ボールを受け取りました。

ゴールに近づくと、けんは大声で「シュート！」と言いました。たろうは力いっぱい、シュートをしました。ボールはゴールに入ります！「やった、ゴール！」と二人は喜びました。

他の友だちも「すごい！」と言いました。みんなで笑いながら、またサッカーを続けました。けんとたろうは、スポーツが大好きです。そして、友だちと遊ぶことも大好きです。今日は楽しい日でした。",327,300,2,4,4,4,3,17,"1 tense mistake, some disconnected plot points",1,,,
34,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: あすか, ちひろ
テーマ: 「夢」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","あすかとちひろは、いつも一緒に遊んでいました。ある日、あすかは夢をみました。「私は大きな宇宙船に乗って、星を探す！」と笑いました。ちひろも、「私も行きたい！星はきれいだね。」と言いました。

次の日、二人は公園に行きました。あすかは宇宙船ごっこを始めました。「これが宇宙船だよ！」と指をさしました。ちひろは「はい、出発！」と叫びました。二人は宇宙を飛び、いろんな星を見ました。

ふと、あすかが言いました。「夢はいつか本当になるかな？」ちひろは頷きました。「うん、信じればできるよ！」二人は手をつないで、未来の夢を話しました。

その日、あすかとちひろはお互いの夢を大切にしようと決めました。夢が叶う日を待ちながら、二人は笑顔で帰りました。友達と一緒にいること、それが一番の幸せでした。",343,300,4,4,3,2,3,16,"3 OOS kanji, 1 OOS vocab",0,,,
91,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ゆり, ひろし
テーマ: 「冒険」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ゆりとひろしは、友だちです。ある日、二人は森に冒険に行きました。森は深くて、緑がいっぱいありました。「ここはどこかな？」とゆりが言いました。「わからないけど、探そう！」とひろしが答えました。

二人は歩き始めました。途中で大きな木を見つけました。「この木に登ってみよう！」とひろしが言いました。ゆりは少し怖かったですが、一緒に登りました。木の上から見ると、森はとてもきれいでした。

その時、下で小さな動物が見えました。「あれは何だろう？」とゆりが指をさしました。動物はリスでした。リスは実を持っていて、二人を見て跳ねました。「かわいいね！」とゆりが笑いました。

冒険の後、二人は夕日を見ながら帰りました。「楽しかったね！」とゆりが言いました。「また冒険しよう！」とひろしが答えました。二人は新しい友だちと不思議な森の思い出を大切にしました。",372,300,4,4,3,4,2,17,1 OOS vocab,0,,,
84,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""自然""
Characters: ちひろ, ゆり

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ちひろとゆりは、山へハイキングに行きました。森の中で、きれいな花や大きな木を見つけました。ちひろは「すごい！自然は美しいね」と言いました。ゆりも「本当に！」と笑いました。二人は自然の音を聞きながら、楽しい時間を過ごしました。帰り道、夕日が山を明るく照らしました。,131,300,4,4,4,4,5,21,,0,,,
54,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""スポーツ""
Characters: たろう, こうた

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",たろうとこうたは、毎日公園でサッカーをしました。ある日、二人は試合をすることにしました。たろうは速く走り、こうたは上手にボールを使います。試合は楽しく、二人はたくさん笑いました。最後に、こうたがゴールを決めて、たろうは「すごい！」と大声で叫びました。,125,300,4,4,4,4,5,21,,0,,,
71,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""夢""
Characters: あすか, けい

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",あすかは夢を見た。そこにけいがいた。けいは笑って、遊びに行こうと言った。公園で二人は遊具で遊んだ。風が心地よく、楽しい時間だった。目が覚めると、あすかはすこしさみしかった。でも、また会えると信じていた。夢は続く。,106,300,4,4,4,3,5,20,2 OOS kanji,0,,,
46,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""旅行""
Characters: かずき, みさき

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",かずきとみさきは、旅行に行きました。二人は新しい町を探検しました。市場でおいしい果物を買い、公園で Pikachu のぬいぐるみを見つけました。夜、夕日を見ながら、アイスクリームを食べました。「楽しいね！」とみさきが言いました。「うん！」と笑ってかずきが答えました。,133,300,3,4,3,3,5,18,"English usage, 2 OOS kanji, 2 OOS vocab",0,,,
45,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""スポーツ""
Characters: しんじ, はなこ

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",しんじとはなこは、サッカーが大好きです。ある日、一緒に公園で練習しました。しんじはドリブルが上手で、はなこはシュートが得意です。二人は笑いながらボールを蹴り合いました。最後に、はなこがゴールを決めて、大喜びしました。「やったね！」としんじが言いました。彼らは友達として、もっと練習することを決めました。,151,300,4,4,4,3,5,20,2 OOS kanji,0,,,
40,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""冒険""
Characters: まなみ, しゅん

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",まなみとしゅんは、公園で冒険をしました。二人は大きな木を見つけました。「あの上に登ろう！」とまなみが言いました。しゅんは少し怖がりましたが、まなみの笑顔を見て、がんばりました。木の上から景色を見ると、とてもきれいでした。「また来よう！」と二人は約束しました。,129,300,4,4,5,3,5,21,1 OOS kanji,1,,,
23,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""旅行""
Characters: さとし, ともや

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",さとしとともやは、休みの日に旅行に行きました。二人は山に登ることにしました。山の上にはきれいな景色がありました。さとしは写真を撮り、ともやはお弁当を食べました。楽しい時間を過ごし、二人は笑顔で帰りました。また行きたいね！,110,300,4,4,4,4,5,21,,0,,,
81,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""買い物""
Characters: けんじ, たかし

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",けんじとたかしは買い物に行きました。スーパーマーケットの前で、けんじが「何を買う？」と聞きました。たかしは「果物が欲しい」と言いました。二人は店に入って、リンゴとバナナを選びました。買い物が終わると、二人は公園で果物を食べました。楽しい一日でした。,124,300,4,4,4,4,5,21,,0,,,
11,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""スポーツ""
Characters: そうた, さやか

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.","そうたとさやかは、毎日公園でサッカーをします。ある日、さやかは「今日は試合をしよう！」と言いました。そうたは「いいよ！」と答えました。

二人はチームを作り、ゴールに向かって走りました。さやかがボールを蹴ると、ゴールに入ります！「やった！」と二人は喜びました。その日、楽しい思い出ができました。",147,300,4,4,4,4,5,21,,0,,,
1,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""学校生活""
Characters: ともこ, さやか

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ともこは学校でさやかと友達だ。毎日、一緒に教室に行く。今日、二人は図書室で本を読んだ。面白い話を見つけて、笑った。お昼になり、校庭でお弁当を食べた。とても楽しい時間だった。「明日も一緒に来よう！」とともこが言った。さやかは笑ってうなずいた。,120,300,4,4,3,3,5,19,"1 OOS kanji, 1 oos vocab",0,,,
19,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""冒険""
Characters: あきら, ゆか

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",あきらとゆかは、山へ冒険に行きました。ふたりは手をつないで、道を進みました。途中で、大きな木を見つけました。あきらは「登ろう！」と言いました。ゆかは少しこわがったけど、あきらの笑顔を見て登りました。頂上からの景色は、とてもきれいでした。,118,300,4,4,3,4,5,20,1 OOS vocab,1,,,
31,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""夢""
Characters: ゆか, あい

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ゆかとあいは、毎晩夢を見ていました。ある日、ゆかは「夢の中で冒険をしよう！」と言いました。あいは「いいね！」と答えました。二人は手をつなぎ、夢の世界に入りました。そこには大きな木と、光る星がありました。楽しい時間を過ごして、目が覚めました。また夢で会おうね！,129,300,4,4,3,4,5,20,1 OOS vocab,1,,,
74,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""スポーツ""
Characters: けん, たろう

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.","けんとたろうは、毎日公園でサッカーをしました。けんは速いシュートが得意でした。ある日、たろうは「試合をしよう！」と言いました。二人は友達とチームを作りました。

試合が始まりました。けんはゴールを守り、たろうはドリブルをしました。最後に、けんがシュート！ボールはゴールに入った！「やった！勝った！」二人は大喜びでした。",159,300,4,4,3,4,5,20,1 OOS vocab,0,,,
34,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""夢""
Characters: あすか, ちひろ

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",あすかは夜、夢を見ました。夢の中で、ちひろが笑っていました。「あすか、大きく成長してね」と言いました。あすかは頬を赤くしながら、「はい、ちひろさん」と答えました。夢が明けると、あすかは少し元気になりました。ちひろの言葉を思い出し、頑張る決心をしました。,126,300,3,4,3,4,5,19,"1 OOS vocab, abrupt shit",0,,,
91,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""冒険""
Characters: ゆり, ひろし

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ある日、ゆりとひろしは山に登ることにしました。二人は友達で、冒険が大好きです。山の中で、素敵な花を見つけました。ゆりは「きれいだね」と言いました。ひろしは「写真を撮ろう」と言って、カメラを取り出しました。二人は笑いながら、その瞬間を楽しみました。,123,300,4,4,2,3,5,18,"3 OOS vocab, 2 OOS kanji",0,,,
84,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 使う、遠い、早い、技術

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜に違いない
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","むかしむかし、ある村に住む若者がいました。彼の名前は健太で、遠い未来の技術に興味を持っていました。健太は毎日、本を使って勉強しました。彼の夢は、早い時間で人々の生活を楽にすることでした。

ある日、村に不思議な老人が現れました。老人は「お前の夢を叶える技術を教えよう」と言いました。健太は驚きましたが、すぐにその話を聞くことにしました。老人は「未来には、心を読む機械ができるに違いない」と言いました。健太はその言葉に感動し、一生懸命に学びました。

数年後、健太はその技術を使って村の人々を助けました。彼は自分の夢を実現し、村は明るい未来を迎えました。人々は彼を称え、健太は心から喜びました。",296,300,4,3,1,0,5,13,"particle usage, 11 OOS Kanij, 7 OOS Vocab, ",1,,,
54,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 悪い、火曜日、毎月、推論

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜わけにはいかない
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","火曜日の朝、私は友達の家に行くことに決めました。毎月、彼とは会って話すのが楽しみです。しかし、その日は少し悪い天気でした。雨が降っていて、外に出るのは面倒です。

でも、友達のことを考えると、行かないわけにはいきません。私は傘を持って、家を出ました。道を歩いていると、あちらこちらで水たまりができていました。やっとの思いで彼の家に着くと、彼は笑顔で迎えてくれました。

「待ってたよ！」彼は言いました。

私たちは一緒にゲームをして、たくさん笑いました。ふと、彼が言ったことに推論しました。「雨が降ると、みんな家にいるから、楽しい時間が増えるね。」

それを聞いて、私は本当にそうだなと思いました。悪い天気でも、友達といると楽しい時間が過ごせるのです。",326,300,4,2,1,3,3,13,"4 OOS Kanji, 3 oos vocab, 2 OOS grammar",0,,,
71,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 夜、帽子、最近、文化

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜たまま
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","最近、夜の公園で不思議なことが起こりました。私は友達と散歩をしていると、帽子をかぶった老人に出会いました。彼はとても優しい笑顔をしていて、私たちを見て「文化を大切にすることが大事だ」と言いました。老人は自分の帽子を指差して、「この帽子は昔、特別な意味があった」と教えてくれました。

私たちは興味津々で話を聞きました。彼はその帽子をかぶったまま、昔の話や文化について語り始めました。時間が経つのも忘れて、私たちは彼の話に夢中になりました。

最後に、老人は「未来のために、文化を伝えていくのが君たちの役目だよ」と言って、笑いながら去って行きました。私たちはその言葉を心に刻み、次の日から少しずつ文化を学ぶことに決めました。",311,300,4,3,2,3,4,16,"4 OOS kanji, 4 OOS vocab, 1 OOS grammar",0,,,
