ID,Abstraction,Prompt,Story
3,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 寒い、便利、学校、充実

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜たところ
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","冬のある日、ゆうたは寒い朝に学校に向かいました。彼の家から学校までは少し遠いですが、便利なバスがあるので助かります。バスに乗ると、友達のさくらが隣に座りました。

「おはよう！今日は楽しい授業があるね」とさくらが言いました。ゆうたも楽しみでした。学校に着いたところで、友達と一緒に教室に入りました。授業は充実していて、特に理科の実験が面白かったです。

放課後、ゆうたとさくらは公園に行きました。寒さを感じましたが、友達と過ごす時間はとても温かく感じました。「また明日、学校で会おうね！」と言って、ゆうたは家に帰りました。心が満たされ、充実した一日を終えました。"
3,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ225文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、花が大好きなリナは、友達と公園に行きました。公園にはたくさんの色とりどりの花が咲いていました。リナは「この花が好き！」と言って、花を見ながら笑いました。

友達のケンも花を見て、「この花はきれいだね！」と言いました。リナは「花をもっと見たい！」と考えました。二人は公園の中を歩きました。

途中で、リナは小さな青い花を見つけました。「これは何の花？」と聞きました。ケンは「分からないけど、かわいいね」と答えました。リナはその花を取って、リボンで結びました。「プレゼントだよ！」とリナが言うと、ケンはにっこり笑いました。

二人は花と一緒に公園を出て、また遊びに来ることを約束しました。リナはその日をいつまでも忘れないと思いました。"
4,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: まい, ゆうき
テーマ: 「冒険」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","まいとゆうきは友達です。ある日、二人は山に行くことにしました。山のふもとに着くと、まいが言いました。「あの大きな木の上に行こう！」

ゆうきは少し怖がりましたが、まいは笑いました。「大丈夫だよ！冒険だよ！」

二人は木に登り始めました。木の枝は高く、風が気持ちよかったです。上に着くと、すごくきれいな景色が見えました。山、川、青い空が広がっていました。

まいは「きれいだね！」と言いました。ゆうきは「本当に！」と答えました。

でも、その時、雲が暗くなりました。急に雨が降り始めました。二人は木の下に隠れました。「どうしよう？」とゆうきが言いました。「下に降りよう！」とまいが答えました。

雨が止んだ後、二人は無事に地面に戻りました。そして、笑い合いながら言いました。「冒険は楽しいね！」

それから、二人は山を下り、家に帰りました。"
4,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""冒険""
Characters: まい, ゆうき

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",まいとゆうきは、森に冒険に出かけました。二人は大きな木を見つけ、上に登ることにしました。木の上から、美しい景色が見えました。突然、鳥が近くに飛んできたので、二人は驚きました。「すごい！こんな体験は初めてだ！」とまいが言いました。楽しい冒険でした。
4,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 便利、まだ、日曜日、論理

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ことにする
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある日曜日、山田さんは便利なアプリを使って散歩に行くことにしました。まだ朝の光が明るくないときに、彼は家を出ました。公園に着くと、子どもたちが遊んでいて、楽しそうに笑っていました。

山田さんは木の下で休むことにし、考えました。「このアプリは本当に便利だ。音楽を聞きながら歩けるし、友達とも簡単に連絡が取れる。」そのとき、彼は不思議なことに気づきました。論理的に考えると、技術が進化することで、私たちの生活も変わっているのです。

公園を歩きながら、山田さんは未来のことを考えました。「これからどんな便利なものができるのだろう？」そう思いながら、彼はまた歩き始めました。それは、明るい未来への一歩でした。"
4,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ225文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","昔々、ある小さな村に優しいおばあさんが住んでいました。おばあさんは毎日、村の子どもたちにお話をしていました。子どもたちはおばあさんの話を楽しみにしていました。

ある日、おばあさんは「今日は特別なお話をします」と言いました。子どもたちはワクワクしました。おばあさんは魔法の鳥の話を始めました。その鳥は、願い事を一つだけ叶えてくれると言いました。

子どもたちは自分の願いを考えました。「私はおいしいケーキが食べたい」「私は大きな家が欲しい」と言いました。でも、最後の子どもは言いました。「私はみんなが幸せになってほしい」と。

おばあさんは微笑みました。「その願いはとても素晴らしいです」と言いました。すると、空から光が降りてきました。光は村全体を包み込み、みんなが幸せになりました。村は明るい笑顔でいっぱいになりました。おばあさんと子どもたちはその日を忘れませんでした。"
5,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ゆうき, そうた
テーマ: 「夢」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ゆうきとそうたは、友だちです。二人はよく公園で遊びます。そして、よく夢の話をします。

ある日、ゆうきは「僕は空を飛びたい！」と言いました。そうたは「いいね！僕も飛びたい！でも、どうやって？」と答えました。

ゆうきは考えました。「おじいさんの家に行こう。おじいさんは昔、飛行機を作ったことがあるよ。」そうたは頷きました。二人はおじいさんの家まで走りました。

おじいさんに聞くと、「夢をかなえるためには、頑張らないといけないよ。」と言いました。ゆうきとそうたは頑張ることを決めました。

次の日、二人はウィングを作りました。ダンボールで翼を作り、それを背中に付けました。公園で走ると、風を感じました。ゆうきは「見て！僕たち、空を飛んでいる！」と言いました。

二人は笑いながら、夢を追いかけました。どんなに難しくても、彼らの心には夢がありました。夢を追い続けることが、彼らの一番の幸せでした。"
5,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""夢""
Characters: ゆうき, そうた

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ゆうきとそうたは、公園で遊んでいました。ゆうきは「僕の夢は、サッカー選手になることだ！」と言いました。そうたは笑って「僕もサッカーが好きだ。でも、僕の夢は宇宙飛行士だよ！」と答えました。二人は、お互いの夢を応援し合いながら、楽しい時間を過ごしました。
5,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 明るい、飲む、飲み物、技術

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ようにする
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある明るい日、たけしは友達と公園に行きました。公園では、たくさんの人が遊んでいました。たけしは自分の飲み物を持って来ていましたが、友達はまだ飲み物を買っていませんでした。たけしは友達に、「ここで飲むのはどう？」と言いました。

友達は少し考えてから、「でも、何を飲もうか？」と聞きました。たけしは、「ジュースやお茶があるよ。技術が進んで、今は色々な飲み物があるから、選ぶのが楽しいね。」と答えました。

友達は笑顔になり、「それなら、ジュースを飲もう！」と言いました。二人は近くの自動販売機に行き、おいしいジュースを買いました。たけしは飲むと、「おいしい！」と喜びました。友達も同じようにして、幸せな時間を過ごしました。こうして、彼らは明るい日を楽しむことができました。"
5,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ250文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、太郎は公園で遊んでいました。彼は友達の花子と一緒に、ブランコに乗って楽しんでいました。太郎は「もっと高く！」と言いました。花子は笑って、「いいよ！」と答えました。二人はブランコをこぎました。

そのとき、老犬が近くを歩いてきました。犬は大きくて、毛がふわふわでした。太郎は犬を見て、「かわいい犬だね」と言いました。花子は「触ってみたい！」と言いました。

二人は犬のところに行きました。太郎は犬の頭をなでました。犬はしっぽをふって、嬉しそうでした。花子も犬をなでました。すると、犬は「ワン！」と鳴いて、さらに喜びました。

その日、太郎と花子は犬と遊びました。公園が明るくなり、みんなが笑顔になりました。夕方、二人は家に帰りました。太郎は「楽しかった！」と言いました。花子も「また遊ぼうね！」と返しました。"
6,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: まなみ, けんじ
テーマ: 「学校生活」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","まなみとけんじは同じクラスの友だちです。毎日、一緒に学校に行きます。ある日のこと、まなみは朝、学校の準備をしていると、自分の好きな本を忘れてしまいました。彼女は「本がない！どうしよう！」と心配しました。

けんじはまなみに「大丈夫、僕が教室で本を見つけるよ」と言いました。まなみは勇気をもらいました。学校に着くと、けんじは急いで教室に入ります。そして、まなみの席の下に本を見つけました。

「まなみ、これだよ！」けんじは本を見せました。まなみはとても嬉しくて、「ありがとう、けんじ！」と言いました。二人は教室で一緒に本を読みました。お昼に友だちと一緒にお弁当を食べて、楽しい時間を過ごしました。

学校生活は時々大変だけど、まなみとけんじはいつも助け合って、楽しみました。二人はこれからもずっと友だちです。"
6,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""学校生活""
Characters: まなみ, けんじ

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",まなみは学校で友達と遊ぶのが好きです。ある日、けんじが新しいゲームを持ってきました。二人は体育館で遊びました。楽しくて、時間がすぐに過ぎました。終わった後、まなみは「また遊ぼう！」と言いました。けんじも「うん、楽しみ！」と笑いました。
6,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: まだ、毎年、たくさん、徹底

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ば〜ほど
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","昔々、ある小さな村に、たくさんの花が咲いている庭がありました。毎年、春になると、村の人々はその庭を訪れて、花を楽しみました。しかし、この庭には秘密がありました。それは、「徹底」したお手入れが必要だということです。

ある日、小さな女の子がその庭を見た時、「まだ花が咲いていないの？」と聞きました。村のおじいさんは優しく答えました。「花は、手をかければかけるほど、美しく咲くんだよ。」

女の子は納得しました。そして、自分もお手入れを手伝うことにしました。草を抜いたり、水をあげたりしているうちに、少しずつ花が咲き始めました。村の人々は驚き、女の子を褒めました。

その年、庭の花は例年よりも美しく咲きました。それからというもの、女の子は毎年、その庭の花を大切に育てることを決めました。"
6,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ275文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、小さな村に住む女の子、さくらは、友だちと森に行きました。森は美しく、たくさんの木と花がありました。さくらは花を見て、「きれいだな」と言いました。友だちのいちろうは、「この花を持って帰ろう！」と言いました。

けれども、さくらは反対しました。「花は森にあるから、森を大切にしよう！」とさくらが言うと、いちろうは考えました。「そうだね、森はぼくたちの友だちだ。」と笑いました。

その後、二人は森の中を歩きました。小さな小川を見つけ、魚が泳いでいるのを見ました。すると、さくらは「魚も森の友だちだね！」と言いました。いちろうは笑って、二人は魚を見て楽しみました。

夕方、村に帰ると、さくらといちろうは森のことを話しました。「森はとても大切だね。」とさくらが言いました。いちろうも「うん、また森に行こう！」と答えました。二人は笑顔で家に帰りました。"
7,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: さやか, まい
テーマ: 「旅行」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","さやかとまいは、夏休みの旅行を計画しました。二人は、海に行くことに決めました。まいは、「海で泳ぎたい！」と言いました。さやかも同じ気持ちでした。

旅行の日、さやかとまいは早く起きました。朝ごはんを食べて、バスに乗りました。バスの中では、二人は楽しそうに話しました。「海の水は冷たいかな？」、「貝が見つかるといいね！」と、わくわくしました。

海に着くと、青い水と白い砂がありました。さやかは「わあ、きれい！」と言いました。まず、二人は水に入ります。水はとても冷たかったですが、すぐに楽しくなりました。砂浜で遊んで、貝を探しました。

楽しい時間が過ぎて、日が暮れてきました。さやかとまいは笑いながら、「また来たいね！」と言いました。二人は素敵な思い出を作りました。旅行は大成功でした。"
7,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""旅行""
Characters: さやか, まい

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",さやかとまいは、週末に旅行に行くことにしました。二人は電車で海に行きました。海に着くと、砂浜で遊びました。まいが貝を見つけて、さやかに見せました。「きれいだね！」とさやかは言いました。夕方、二人は夕日を見ながら、楽しい思い出を話しました。
7,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 毎日、にぎやか、暗い、肯定

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ば〜ほど
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","昔々、ある村に小さな家がありました。家の前には大きな木がありました。毎日、子供たちがその木の下で遊んでいました。村はにぎやかで、笑い声があふれていました。

しかし、木の後ろには暗い森がありました。村の人々は、森に入ることを恐れていました。なぜなら、そこには不思議な生き物が住んでいると言われていたからです。

ある日、勇気を出した少年が森に入ることにしました。彼は心の中で、肯定的な気持ちを持っていました。「大丈夫、悪いことはない」と自分に言い聞かせました。森を進むほど、彼は不安がなくなり、楽しい発見が待っていました。

少年は不思議な生き物と友達になり、村へ帰ると、新しい話をみんなにしました。それ以来、村はもっとにぎやかになり、暗い森も不安ではなくなりました。"
7,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ225文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、太郎は公園で遊んでいました。空は青く、太陽が輝いていました。太郎は友達の花子と一緒に、すべり台やブランコで遊びました。

遊んでいると、小さい犬が近くに来ました。犬はしっぽをふり、太郎を見ました。太郎は犬が大好きなので、犬に近づきました。犬はとてもかわいくて、太郎は犬をなでました。

花子も犬を見て、「この犬、名前は何？」と聞きました。太郎は、「わからない。飼い主はどこ？」と言いました。二人は犬を追いかけて、公園の中を走りました。

すると、木の下でおじさんが犬を呼んでいました。「ここだよ！」とおじさんが言いました。太郎と花子はおじさんに犬を連れて行きました。「ありがとう」とおじさんは言いました。太郎と花子は少しだけ寂しかったけれど、犬が飼い主のところに戻ってよかったと思いました。"
8,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ともこ, しゅん
テーマ: 「旅行」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ともことしゅんは、週末に旅行へ行くことにしました。二人は朝早く起きて、バスで山へ向かいました。バスの中で笑いながら、景色を見ていました。

山に着くと、きれいな花や大きな木がありました。ともこは「見て！あの花はすごくきれい！」と言いました。しゅんは「本当だ！写真を撮ろう！」と答えました。二人は花の前で写真を撮りました。

次に、川を見に行きました。川の水は冷たくて、ともこは足を入れました。「気持ちいい！」と叫びます。しゅんも足を入れて、二人はおしゃべりをしながら遊びました。

その後、山の上に登りました。そこからの景色は素晴らしかったです。「こんなにきれいな場所を見たのは初めて」とともこが言いました。しゅんはニコニコしながら「また来よう」と言いました。

日が暮れる前に、二人は家に帰りました。楽しい思い出をたくさん作った旅行でした。"
8,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""旅行""
Characters: ともこ, しゅん

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ともことしゅんは、旅行に行きました。二人は山へ登ることにしました。山の上から、きれいな景色が見えました。「わあ、すごい！」ともこは言いました。しゅんは笑って、「もっと上に行こう！」と答えました。二人は楽しい時間を過ごしました。その夜、星を見ながら、思い出を話しました。
8,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: よく、いつも、まだ、多様性

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜にしては
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある町には、色々な人が住んでいました。彼らはそれぞれ異なる文化や習慣を持っていました。ある日、町の広場でお祭りが開かれました。子どもたちは楽しそうに遊び、大人たちは美味しい料理を作っていました。みんなは「この祭りはとても楽しい！」と言って笑いました。

一人の少女は、まだ友達がいないことを悩んでいました。彼女はいつも一人でいるので、寂しい思いをしていました。しかし、祭りの雰囲気に心が踊り、勇気を出して周りの人に話しかけることにしました。

「私と一緒に遊んでくれませんか？」と彼女が言うと、他の子どもたちは笑顔で答えました。「もちろん、いいよ！」彼女はその瞬間、たくさんの友達ができました。

多様性のある町で、新しい出会いが生まれたのです。彼女は心から幸せになり、「こんなに楽しい祭りは、私にしては初めてだ」と思いました。"
8,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ225文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","むかしむかし、ある村に小さい男の子がいました。彼の名前はタロウです。タロウは毎日、友だちと遊びました。ある日、彼は森で不思議なきのこを見つけました。そのきのこは、光っていました。タロウはそのきのこを触りました。

すると、きのこが話し始めました。「こんにちは、タロウ！私は魔法のきのこです。あなたの願いを一つ叶えます。」タロウはびっくりしましたが、すぐに考えました。

「僕は友だちとずっと遊びたい！」とタロウは言いました。きのこは笑い、「それなら、友だちを呼んでください。」と言いました。タロウはすぐに友だちを呼びました。みんなが集まると、森が光り輝きました。

それから、タロウと友だちは楽しい時間を過ごしました。森で遊ぶたびに、きのこの力で皆が幸せになりました。タロウは友だちと一緒にいることが、何より大切だと学びました。"
9,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: かずき, まなみ
テーマ: 「家族」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","かずきとまなみは兄妹です。二人は毎日一緒に遊びます。春の日、かずきは、「今日は花を見に行こう！」と言いました。まなみはうれしくて、「うん、行こう！」と答えました。

二人は公園に行きました。公園にはたくさんの花が咲いていました。かずきは赤い花を見つけて、「この花はきれいだね！」と言いました。まなみも、「すごい！ピンクの花もある！」と叫びました。

その時、かずきは思いました。「家族は大切だな。」あたたかい日差しの中、二人は花を見て、笑いました。まなみはかずきの手をにぎりました。「一緒にいると楽しいね！」と。かずきはうなずいて、「うん、君といると、もっと楽しいよ！」と言いました。

日が暮れるまで、二人は遊び続けました。家族であることが、かずきとまなみにとって一番の幸せでした。"
